collision_id,q_value,retain_fraction,bh_probability
1,1.0,0.4625,0.1
2,0.626856435644,0.65026193056,0.0813428217822
3,0.855333520968,0.647819191372,0.0927666760484
4,0.420739304998,0.656227274468,0.14103696525
5,0.969572493534,0.647512529914,0.15
6,1.0,0.4625,0.1
7,0.80334576331,0.37035675483,0.15
8,1.0,0.6475,0.15
9,1.0,0.4625,0.1
10,1.0,0.4625,0.1
11,0.420739304998,0.656227274468,0.14103696525
12,0.719944310307,0.370795392122,0.15
13,0.890161619332,0.647677284051,0.15
14,1.0,0.4625,0.1
15,1.0,0.4625,0.1
16,0.923659098388,0.46255905948,0.0761829549194
17,0.462345960749,0.654596837637,0.103117298037
