time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,10,0,0,0,0,0,100.0,3.13229108289e-17,-2.61024256907e-18,100.0,55.0,0.163892733009,0.853760524051,0.0,0.0,1348.95085881
0.01,10,0,0,0,0,0,99.9964590302,0.560535542111,0.049040511662,99.998042099,55.0024016912,0.167696230193,1.19875254767,0.0,0.00241772719425,1349.09639751
0.01,10,0,0,0,0,0,99.9964590302,0.560535542111,0.049040511662,99.998042099,55.0024016912,0.167696230193,1.19875254767,0.0,0.00241772719425,1349.09639751
0.02,10,0,0,0,0,0,99.9858361308,1.12103133317,0.0980771014676,99.992168479,55.0096162966,0.17342046249,1.46143333788,0.0,0.00241723723319,1346.7508303
0.03,10,0,0,0,0,0,99.968145785,1.68099018654,0.147065815803,99.982386089,55.0216438564,0.1771903009,1.24367022464,0.0,0.00241961140052,1343.93529777
0.04,10,0,0,0,0,0,99.9433591373,2.24128738593,0.196082774124,99.9686793614,55.0384817903,0.17797522496,1.24957439329,0.0,0.00240883085394,1341.01364561
0.05,10,0,0,0,0,0,99.9115167258,2.80096846329,0.245044020485,99.9510712567,55.0601264706,0.182755905901,1.88561715908,0.0,0.00239321764628,1338.20663175
0.06,10,0,0,0,0,0,99.8725666104,3.36090821217,0.294025627106,99.9295337547,55.0865732105,0.185691666331,1.03969917262,0.0,0.00238250617329,1335.50983182
0.07,10,0,0,0,0,0,99.8265724938,3.92015270102,0.34294369209,99.9041029359,55.1178162808,0.197195709319,0.823307452295,0.0,0.00237693336133,1332.92654577
0.08,10,0,0,0,0,0,99.7734159958,4.48003262405,0.391914156037,99.8747156616,55.1538473205,0.20914536809,0.663671656515,0.0,0.00237221905428,1330.44978976
0.09,10,0,0,0,0,0,99.7132706994,5.03868144749,0.440773305536,99.8414690667,55.1946585442,0.219031574709,0.768831314527,0.0,0.00236305572932,1328.08740437
0.1,10,0,0,0,0,0,99.6460500632,5.5969726924,0.489597089982,99.8043140442,55.2402443351,0.213846395341,0.636557621244,0.0,0.00235873964088,1325.83492308
0.11,10,0,0,0,0,0,99.5716935844,6.15532228371,0.538421425134,99.7632199426,55.290593312,0.217057514838,0.857248194153,0.0,0.00234684942609,1323.69023457
0.12,10,0,0,0,0,0,99.4902564011,6.71323411227,0.587202470888,99.7182201894,55.3456931131,0.215755195529,0.922126407282,0.0,0.00233434768188,1321.65544567
0.13,10,0,0,0,0,0,99.4018110161,7.2702130827,0.63589648861,99.6693553501,55.4055335765,0.196383326094,1.18255502003,0.0,0.00232507757798,1319.73191748
0.14,10,0,0,0,0,0,99.3062912177,7.82667458754,0.68453934533,99.6165895051,55.470103566,0.204110740211,1.40250999486,0.0,0.00231772757443,1317.91727431
0.15,10,0,0,0,0,0,99.2036134794,8.38303268165,0.733166777762,99.559879961,55.5393878192,0.204863435677,1.45918370921,0.0,0.00231677159295,1316.20975224
0.16,10,0,0,0,0,0,99.0939009583,8.93856564359,0.781715249777,99.4992976941,55.6133709437,0.208096052475,1.34599180191,0.0,0.0022936763463,1314.61183712
