time_Myr,N_stars,N_BH,N_NS,N_WD,N_Merged,N_VMS,COM_x_pc,COM_y_pc,COM_z_pc,orbital_radius_pc,velocity_kms,cluster_radius_pc,velocity_dispersion_kms,avg_q,avg_friction_accel_km_s_Myr,avg_gas_density_Msun_pc3
0.0,856,0,0,0,0,0,99.9989559374,0.000659890915462,0.00024754976033,99.9989559399,54.8987431206,0.153286590573,6.44724792589,0.0,0.0,1345.2488906
0.001,856,0,0,0,0,0,99.9988420688,0.0566005850553,0.00515403491725,99.9988582199,54.8988636869,0.154308272421,6.43611538862,0.0,0.00165620851504,1345.21098802
0.001,856,0,0,0,0,0,99.9988420688,0.0566005850553,0.00515403491725,99.9988582199,54.8988636869,0.154308272421,6.43611538862,0.0,0.00165620851504,1345.21098802
0.002,856,0,0,0,0,0,99.9986574612,0.112520060306,0.0100586583113,99.9987212717,54.8990326358,0.158234977422,6.47716285339,0.0,0.00165470068974,1345.18172003
0.003,856,0,0,0,0,0,99.9984020069,0.168453575323,0.0149645119774,99.9985450118,54.8992499694,0.157567764118,6.51019764965,0.0,0.00165630418905,1345.14870994
0.004,856,0,0,0,0,0,99.9980757937,0.224379911585,0.0198697344119,99.998329504,54.8995156849,0.162115472834,6.56471187576,0.0,0.00165027279948,1345.10720228
0.005,856,0,0,0,0,0,99.9976786891,0.280320208344,0.0247761792546,99.9980746639,54.8998297794,0.159497123129,6.58328362842,0.0,0.0016457746763,1345.05305264
0.006,856,0,0,0,0,0,99.9972108934,0.336246187587,0.0296813658255,99.9977806201,54.9001922523,0.160419990546,6.57074701124,0.0,0.00164089652629,1344.98854363
0.007,856,0,0,0,0,0,99.9966723066,0.392171928928,0.0345865285731,99.9974473046,54.9006031078,0.161581811913,6.5687935828,0.0,0.00163860680797,1344.92574064
0.008,856,0,0,0,0,0,99.9960629669,0.448093863017,0.0394913539806,99.99707474,54.9010623464,0.157403085488,6.59080675722,0.0,0.0016422456712,1344.85796737
0.009,856,0,0,0,0,0,99.9953827545,0.504022539514,0.0443967668874,99.9966628544,54.901569966,0.15561034263,6.57882892898,0.0,0.00165102359415,1344.77915968
0.01,856,0,0,0,0,0,99.9946316041,0.559961448449,0.0493030729423,99.9962116145,54.9021259592,0.153790390229,6.59753327836,0.0,0.0016510489567,1344.68714086
0.011,856,0,0,0,0,0,99.993809852,0.615885842244,0.0542081011229,99.9957212215,54.9027303261,0.157130082879,6.57542401546,0.0,0.00165140945682,1344.59630451
0.012,856,0,0,0,0,0,99.9929173084,0.671809800159,0.0591130858426,99.9951915575,54.9033830705,0.158983403024,6.58909074615,0.0,0.00165215998578,1344.48386699
0.013,856,0,0,0,0,0,99.9919539735,0.727733282599,0.0640180231736,99.9946226228,54.9040841908,0.158875797853,6.61863174945,0.0,0.00165343755503,1344.35943013
0.014,856,0,0,0,0,0,99.9909195861,0.783670368366,0.068924147483,99.9940142682,54.9048336806,0.157625744168,6.6102664613,0.0,0.00164995664589,1344.21056738
0.015,856,0,0,0,0,0,99.9898146684,0.83959278106,0.0738289782521,99.9933668009,54.9056315384,0.157337658993,6.5730099555,0.0,0.00165242310275,1344.05031329
0.016,856,0,0,0,0,0,99.9886389592,0.895514599479,0.0787337498474,99.9926800636,54.9064777673,0.160399928923,6.54264714581,0.0,0.00165394842721,1343.88139305
0.017,856,0,0,0,0,0,99.9873924585,0.951435784026,0.0836384583407,99.9919540568,54.9073723655,0.161134082152,6.53069359477,0.0,0.00165869214792,1343.70480059
0.018,856,0,0,0,0,0,99.9860751664,1.0073562951,0.088543099803,99.9911887806,54.908315331,0.164967212763,6.52302530719,0.0,0.0016626398179,1343.52606324
0.019,856,0,0,0,0,0,99.9846867323,1.0632902107,0.0934489085207,99.9903840363,54.9093066569,0.167322279667,6.53519058172,0.0,0.00166454722882,1343.34200657
